Cell;Band(MHz);Date;Data_Volume
cell0001;1800;01/12/2023;81700
cell0001;1800;02/12/2023;137500
cell0001;1800;03/12/2023;210900
cell0001;1800;04/12/2023;158300
cell0001;1800;05/12/2023;185300
cell0001;1800;06/12/2023;293100
cell0001;1800;07/12/2023;55000
cell0001;1800;08/12/2023;77700
cell0001;1800;09/12/2023;189700
cell0001;1800;10/12/2023;98600
cell0001;1800;11/12/2023;71800
cell0001;1800;12/12/2023;127900
cell0001;1800;13/12/2023;93800
cell0001;1800;14/12/2023;234500
cell0001;1800;15/12/2023;167200
cell0001;1800;16/12/2023;189200
cell0001;1800;17/12/2023;146900
cell0001;1800;18/12/2023;153800
cell0001;1800;19/12/2023;294700
cell0001;1800;20/12/2023;307100
cell0001;1800;21/12/2023;193800
cell0001;1800;22/12/2023;123400
cell0001;1800;23/12/2023;189700
cell0001;1800;24/12/2023;147100
cell0001;1800;25/12/2023;131000
cell0001;1800;26/12/2023;139500
cell0001;1800;27/12/2023;159500
cell0001;1800;28/12/2023;174400
cell0001;1800;29/12/2023;170100
cell0001;1800;30/12/2023;232000
cell0001;1800;31/12/2023;208800
cell0001;1800;01/01/2024;316400
cell0001;1800;02/01/2024;300300
cell0001;1800;03/01/2024;143800
cell0001;1800;04/01/2024;145000
cell0001;1800;05/01/2024;178000
cell0001;1800;06/01/2024;165300
cell0001;1800;07/01/2024;155700
cell0001;1800;08/01/2024;184600
cell0001;1800;09/01/2024;160400
cell0001;1800;10/01/2024;159100
cell0001;1800;11/01/2024;181300
cell0001;1800;12/01/2024;95600
cell0001;1800;13/01/2024;121500
cell0001;1800;14/01/2024;112800
cell0001;1800;15/01/2024;239900
cell0001;1800;16/01/2024;211900
cell0001;1800;17/01/2024;150000
cell0001;1800;18/01/2024;119000
cell0001;1800;19/01/2024;163500
cell0001;1800;20/01/2024;171000
cell0001;1800;21/01/2024;125400
cell0001;1800;22/01/2024;140600
cell0001;1800;23/01/2024;142300
cell0001;1800;24/01/2024;78500
cell0001;1800;25/01/2024;153500
cell0001;1800;26/01/2024;137600
cell0001;1800;27/01/2024;118900
cell0001;1800;28/01/2024;120000
cell0001;1800;29/01/2024;227800
cell0001;1800;30/01/2024;177200
cell0001;1800;31/01/2024;166300
cell0001;1800;01/02/2024;147800
cell0001;1800;02/02/2024;159200
cell0001;1800;03/02/2024;137500
cell0001;1800;04/02/2024;109800
cell0001;1800;05/02/2024;193200
cell0001;1800;06/02/2024;229700
cell0001;1800;07/02/2024;116300
cell0001;1800;08/02/2024;95300
cell0001;1800;09/02/2024;74000
cell0001;1800;10/02/2024;95900
cell0001;1800;11/02/2024;109500
cell0001;1800;12/02/2024;85800
cell0001;1800;13/02/2024;89400
cell0001;1800;14/02/2024;91200
cell0001;1800;15/02/2024;94500
cell0001;1800;16/02/2024;173900
cell0001;1800;17/02/2024;117000
cell0001;1800;18/02/2024;222600
cell0001;1800;19/02/2024;129400
cell0001;1800;20/02/2024;168700
cell0001;1800;21/02/2024;144900
cell0001;1800;22/02/2024;108300
cell0001;1800;23/02/2024;147700
cell0001;1800;24/02/2024;100000
cell0001;1800;25/02/2024;123200
cell0001;1800;26/02/2024;138100
cell0001;1800;27/02/2024;296400
cell0001;1800;28/02/2024;303400
cell0001;1800;29/02/2024;266200
cell0001;1800;01/03/2024;157100
cell0001;1800;02/03/2024;88500
cell0001;1800;03/03/2024;44700
cell0001;1800;04/03/2024;81900
cell0001;1800;05/03/2024;83000
cell0001;1800;06/03/2024;76300
cell0001;1800;07/03/2024;87600
cell0001;1800;08/03/2024;87000
cell0001;1800;09/03/2024;186500
cell0001;1800;10/03/2024;158500
cell0001;1800;11/03/2024;160300
cell0001;1800;12/03/2024;166100
cell0001;1800;13/03/2024;152500
cell0001;1800;14/03/2024;134400
cell0001;1800;15/03/2024;124100
cell0001;1800;16/03/2024;120800
cell0001;1800;17/03/2024;133700
cell0001;1800;18/03/2024;123800
cell0001;1800;19/03/2024;138800
cell0001;1800;20/03/2024;132800
cell0001;1800;21/03/2024;112100
cell0001;1800;22/03/2024;91200
cell0001;1800;23/03/2024;73200
cell0001;1800;24/03/2024;74800
cell0001;1800;25/03/2024;86200
cell0001;1800;26/03/2024;76900
cell0001;1800;27/03/2024;287500
cell0001;1800;28/03/2024;112500
cell0001;1800;29/03/2024;111400
cell0001;1800;30/03/2024;113600
cell0001;1800;31/03/2024;112500
cell0001;1800;01/04/2024;138600
cell0001;1800;02/04/2024;136400
cell0001;1800;03/04/2024;226900
cell0001;1800;04/04/2024;228900
cell0001;1800;05/04/2024;270700
cell0001;1800;06/04/2024;186900
cell0001;1800;07/04/2024;176100
cell0001;1800;08/04/2024;233400
cell0001;1800;09/04/2024;153300
cell0001;1800;10/04/2024;133900
cell0001;1800;11/04/2024;117500
cell0001;1800;12/04/2024;316700
cell0001;1800;13/04/2024;89800
cell0001;1800;14/04/2024;73200
cell0001;1800;15/04/2024;68300
cell0001;1800;16/04/2024;139300
cell0001;1800;17/04/2024;107900
cell0001;1800;18/04/2024;85700
cell0001;1800;19/04/2024;151700
cell0001;1800;20/04/2024;153200
cell0001;1800;21/04/2024;146400
cell0001;1800;22/04/2024;134500
cell0001;1800;23/04/2024;164400
cell0001;1800;24/04/2024;189700
cell0001;1800;25/04/2024;379600
cell0001;1800;26/04/2024;214000
cell0001;1800;27/04/2024;170800
cell0001;1800;28/04/2024;173700
cell0001;1800;29/04/2024;162300
cell0001;1800;30/04/2024;175300
cell0001;1800;01/05/2024;223300
cell0001;1800;02/05/2024;121400
cell0001;1800;03/05/2024;70500
cell0001;1800;04/05/2024;69000
cell0001;1800;05/05/2024;157100
cell0001;1800;06/05/2024;195900
cell0001;1800;07/05/2024;147500
cell0001;1800;08/05/2024;113100
cell0001;1800;09/05/2024;69400
cell0001;1800;10/05/2024;77000
cell0001;1800;11/05/2024;97800
cell0001;1800;12/05/2024;43000
cell0001;1800;13/05/2024;181300
cell0001;1800;14/05/2024;134200
cell0001;1800;15/05/2024;154600
cell0001;1800;16/05/2024;201000
cell0001;1800;17/05/2024;250000
cell0001;1800;18/05/2024;195800
cell0001;1800;19/05/2024;165100
cell0001;1800;20/05/2024;165800
cell0001;1800;21/05/2024;222800
cell0001;1800;22/05/2024;301600
cell0001;1800;23/05/2024;215300
cell0001;1800;24/05/2024;189900
cell0001;1800;25/05/2024;153800
cell0001;1800;26/05/2024;169500
cell0001;1800;27/05/2024;143300
cell0001;1800;28/05/2024;149600
cell0001;1800;29/05/2024;169500
cell0001;1800;30/05/2024;113800
cell0001;1800;31/05/2024;150100
cell0001;1800;01/06/2024;193500
cell0001;1800;02/06/2024;69400
cell0001;1800;03/06/2024;87200
cell0001;1800;04/06/2024;94400
cell0001;1800;05/06/2024;419200
cell0001;1800;06/06/2024;150400
cell0001;1800;07/06/2024;140800
cell0001;1800;08/06/2024;150300
cell0001;1800;09/06/2024;241400
cell0001;1800;10/06/2024;173500
cell0001;1800;11/06/2024;226800
cell0001;1800;12/06/2024;189100
cell0001;1800;13/06/2024;118800
cell0001;1800;14/06/2024;143200
cell0001;1800;15/06/2024;123500
cell0001;1800;16/06/2024;131000
cell0001;1800;17/06/2024;264100
cell0001;1800;18/06/2024;170400
cell0001;1800;19/06/2024;55500
cell0001;1800;20/06/2024;72000
